id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_000	24	128	24	128	3.435796806	0.143158200	1	23	35.041948	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_000.txt
case_001	24	128	24	128	3.302673475	0.137611395	1	24	35.415027	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_001.txt
case_002	24	128	24	128	6.798247640	0.283260318	0	0	35.251016	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_002.txt
case_003	24	128	24	128	6.004962154	0.250206756	1	8	34.938312	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_003.txt
case_004	24	128	24	128	6.067247117	0.252801963	1	14	33.246641	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_004.txt
case_005	24	128	24	128	3.547885352	0.147828556	1	9	35.168449	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_005.txt
case_006	24	128	24	128	5.885876516	0.245244855	1	2	34.992526	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_006.txt
case_007	24	128	24	128	5.834143410	0.243089309	0	0	35.003894	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_007.txt
case_008	24	128	24	128	3.451768421	0.143823684	1	12	35.003865	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_008.txt
case_009	24	128	24	128	2.993752135	0.124739672	1	11	33.822080	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_009.txt
case_010	24	128	24	128	1.633208129	0.068050339	1	9	34.991808	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_010.txt
case_011	24	128	24	128	2.947172341	0.122798848	1	24	34.650898	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_011.txt
case_012	24	128	24	128	2.623739986	0.109322499	1	10	33.079662	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_012.txt
case_013	24	128	24	128	2.481992357	0.103416348	0	0	34.400058	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_013.txt
case_014	24	128	24	128	3.330608225	0.138775343	0	0	34.451008	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_014.txt
case_015	24	128	24	128	1.500033793	0.062501408	1	18	34.352834	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_015.txt
case_016	24	128	24	128	2.977051761	0.124043823	1	2	35.035167	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_016.txt
case_017	24	128	24	128	6.167297179	0.256970716	0	0	34.665256	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_017.txt
case_018	24	128	24	128	1.706816016	0.071117334	1	17	34.462454	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_018.txt
case_019	24	128	24	128	7.663914683	0.319329778	1	13	34.133370	0.000	bench-results/dspark_quality_softmax20_20260630_200407/no_draft/outputs/case_019.txt
